INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
218 WEST   10 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006190026,12/13/2017,Open,Site downloaded for cleaning,,982915,206679,40.733963,-74.004817,10014,  73  ,1011144,West Village,"(40.733963, -74.004817)",12077,57,4,10,3
35-25 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,26,4003390008,02/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1002981,215904,40.759264,-73.932387,11106,  47  ,4004007,Astoria,"(40.759264, -73.932387)",16863,39,3,33,72
157 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041190014,11/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2018,1019536,189067,40.685552,-73.872770,11208,118201,3091706,Cypress Hills-City Line,"(40.685552, -73.87277)",17215,45,2,37,47
8516 23 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063480044,11/15/2017,Open,Site downloaded for cleaning,,986709,158248,40.601030,-73.991145,11214, 296  ,3165936,Bensonhurst West,"(40.60103, -73.991145)",17616,1,2,45,37
27 STATE STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3002590001,03/08/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,984636,191453,40.692171,-73.998608,11201,   7  ,3002265,Brooklyn Heights-Cobble Hill,"(40.692171, -73.998608)",16865,68,2,38,54
1985 STILLWELL AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070750052,01/25/2018,Open,Site to be cleaned.,,988261,157269,40.598343,-73.985557,11223, 404  ,3189703,Bensonhurst East,"(40.598343, -73.985557)",18183,1,2,45,37
102-01 METROPOLITAN AVENUE,QUEENS,06 QUEENS,Precinct 112,29,4032400004,12/18/2017,Open,Site downloaded for cleaning,,1025622,198150,40.710456,-73.850770,11375, 731  ,4443073,Forest Hills,"(40.710456, -73.85077)",14786,40,3,28,70
69-11 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,25,4011650045,11/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2018,1012708,214110,40.754314,-73.897284,11377, 30902,4026292,Jackson Heights,"(40.754314, -73.897284)",14787,65,3,5,73
24 WILLETT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003310095,12/18/2017,Open,Site downloaded for cleaning,,989029,200147,40.716033,-73.982761,10002,  12  ,1000000,Lower East Side,"(40.716033, -73.982761)",11723,70,4,32,4
2897 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,17,2023740018,12/18/2017,Open,Site downloaded for cleaning,,1007416,236928,40.816958,-73.916306,10455,  65  ,2000000,Melrose South-Mott Haven North,"(40.816958, -73.916306)",10933,49,5,43,23
78-21 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,30,4089540010,12/07/2017,Open,Site downloaded for cleaning,,1022626,188695,40.684518,-73.861631,11421,   6  ,4184917,Woodhaven,"(40.684518, -73.861631)",24012,46,3,34,60
214-71 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106060262,11/17/2017,Open,Site downloaded for cleaning,,1055940,200590,40.716960,-73.741387,11428, 542  ,4226243,Queens Village,"(40.71696, -73.741387)",24337,63,3,16,63
2170 STARLING AVENUE,BRONX,09 BRONX,Precinct 43,18,2039350043,01/17/2018,Open,Site downloaded for cleaning,,1024959,243990,40.836278,-73.852884,10462, 222  ,2029040,Parkchester,"(40.836278, -73.852884)",11271,58,5,31,26
232 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,,01/25/2018,Open,Property Research Required,,1001140,184324,40.672588,-73.939112,11213, 343  ,,Crown Heights North,"(40.672588, -73.939112)",17615,16,2,49,49
2193 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3068170058,12/24/2017,Open,Site downloaded for cleaning,,994915,159211,40.603668,-73.961593,11223, 556  ,3183867,Homecrest,"(40.603668, -73.961593)",18183,32,2,15,36
170 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003440171,01/17/2018,Open,Site downloaded for cleaning,,988494,201219,40.718976,-73.984690,10002,  2201,1004123,Lower East Side,"(40.718976, -73.98469)",11723,70,4,32,4
6610 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055640044,12/16/2017,Open,Site downloaded for cleaning,,989140,162592,40.612953,-73.982387,11204, 256  ,3134526,Bensonhurst West,"(40.612953, -73.982387)",16867,1,2,45,37
701 7 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 18,04,1010000001,11/30/2017,Open,Site downloaded for cleaning,,988532,215908,40.759293,-73.984543,10036, 125  ,1083718,Midtown-Midtown South,"(40.759293, -73.984543)",13094,11,4,51,10
5306 THIRD AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008130042,11/07/2017,Open,Site downloaded for cleaning,,979683,174594,40.645896,-74.016457,11220,  20  ,3250708,Sunset Park West,"(40.645896, -74.016457)",18180,9,2,7,45
21-21 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4004387502,02/08/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998941,211814,,,,,,,,,,,,
64-47 108 STREET,QUEENS,06 QUEENS,Precinct 112,29,4021710001,11/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2017,1026062,206019,40.732053,-73.849134,11375, 743  ,4051678,Forest Hills,"(40.732053, -73.849134)",14786,40,3,28,70
1439 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3075840019,02/21/2018,Open,Site downloaded for cleaning,,996290,167717,40.627013,-73.956626,11230, 762  ,3206619,Midwood,"(40.627013, -73.956626)",13513,60,2,26,43
1830 NOSTRAND AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3051950041,01/30/2018,Open,Site to be cleaned.,,998521,172973,40.641436,-73.948577,11226, 828  ,3120052,Erasmus,"(40.641436, -73.948577)",13510,61,2,26,40
192 EAST    2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003980043,12/14/2017,Open,Site downloaded for cleaning,,988636,202446,40.722343,-73.984177,10009,  3002,1004978,East Village,"(40.722343, -73.984177)",11729,70,4,50,5
106-10 DUNKIRK STREET,QUEENS,12 QUEENS,Precinct 103,27,4103430100,01/29/2018,Open,Site downloaded for cleaning,,1046950,195536,40.703156,-73.773865,11412, 444  ,4438791,Jamaica,"(40.703156, -73.773865)",15312,41,3,6,61
254 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004090033,11/05/2017,Open,Site downloaded for cleaning,,987032,200882,40.718051,-73.989964,10002,  18  ,1005297,Chinatown,"(40.718051, -73.989964)",11723,70,4,32,4
153 AVENUE C,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003920034,12/07/2017,Open,Site downloaded for cleaning,,990413,203628,40.725587,-73.977765,10009,  28  ,1004775,Lower East Side,"(40.725587, -73.977765)",11729,70,4,50,5
84-47 PARSONS BOULEVARD,QUEENS,08 QUEENS,Precinct 107,24,4097820015,02/13/2018,Open,Site downloaded for cleaning,,1037850,199104,40.713009,-73.806656,11432, 450  ,4209328,Briarwood-Jamaica Hills,"(40.713009, -73.806656)",24340,25,3,24,65
22 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002810009,01/09/2018,Open,Site downloaded for cleaning,,985193,199236,40.713534,-73.996598,10002,   8  ,1003485,Chinatown,"(40.713534, -73.996598)",11723,70,4,32,2
10 ST NICHLAS TERRACE,MANHATTAN,09 MANHATTAN,Precinct 26,09,1019540016,02/01/2018,Open,Site to be cleaned.,,997572,235398,40.812779,-73.951873,10027, 21303,1059378,Manhattanville,"(40.812779, -73.951873)",12424,37,4,36,17
638 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,08,2023480053,12/19/2017,Open,Site downloaded for cleaning,,1004377,238597,40.821547,-73.927280,10451,  63  ,2001077,West Concourse,"(40.821547, -73.92728)",10929,50,5,35,27
120-13 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,28,4116640030,12/12/2017,Open,Mail returned / wrong address,,1034817,185577,40.675899,-73.817698,11420, 166  ,4252010,South Ozone Park,"(40.675899, -73.817698)",24016,62,3,46,64
262 SAINT NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033200027,12/15/2017,Open,Site downloaded for cleaning,,1008428,195152,40.702291,-73.912800,11237, 441  ,3076000,Bushwick North,"(40.702291, -73.9128)",13828,42,2,37,53
2274 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063830043,01/12/2018,Open,Site downloaded for cleaning,,986468,158173,40.600825,-73.992013,11214, 296  ,3167176,Bensonhurst West,"(40.600825, -73.992013)",17616,1,2,45,37
406 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003560036,11/10/2017,Open,Site downloaded for cleaning,,985126,187175,40.680429,-73.996842,11231,  65  ,3336024,Carroll Gardens-Columbia Street-Red Hook,"(40.680429, -73.996842)",13514,14,2,27,48
956 EAST   29 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,45,3075920069,12/02/2017,Open,Site downloaded for cleaning,,998660,167984,40.627742,-73.948087,11210, 750  ,3206988,Midwood,"(40.627742, -73.948087)",17217,60,2,26,43
44 CARLTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020300047,12/13/2017,Open,Site downloaded for cleaning,,991579,193114,40.696727,-73.973570,11205, 211  ,3000000,Fort Greene,"(40.696727, -73.97357)",17212,68,2,48,55
32-12 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006120037,12/12/2017,Open,Site downloaded for cleaning,,1005192,216722,40.761504,-73.924404,11106,  59  ,4008329,Astoria,"(40.761504, -73.924404)",16863,39,3,4,72
2637 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070930044,11/14/2017,Open,Site downloaded for cleaning,,988677,156430,40.596040,-73.984059,11223, 402  ,3340112,Bensonhurst East,"(40.59604, -73.984059)",18183,1,2,45,37
824 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3053930036,12/12/2017,Open,Site downloaded for cleaning,,993037,171594,40.637658,-73.968340,11218, 492  ,3126915,Kensington-Ocean Parkway,"(40.637658, -73.96834)",17620,2,2,11,39
884 55 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056790041,12/31/2017,Open,Site downloaded for cleaning,,982868,171466,40.637311,-74.004979,11220, 106  ,3139519,Sunset Park East,"(40.637311, -74.004979)",18180,2,2,7,39
120-15 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092740077,11/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1031481,194453,40.700280,-73.829663,11418, 144  ,4193713,Richmond Hill,"(40.70028, -73.829663)",24014,46,3,28,60
1287 EDWARD L GRANT HIGHWAY,BRONX,04 BRONX,Precinct 44,16,2025060098,12/26/2017,Open,Site downloaded for cleaning,,1005868,244789,40.838538,-73.921873,10452, 211  ,2003091,Highbridge,"(40.838538, -73.921873)",10930,50,5,42,27
EAST 170/ WALTON AVENUE,BRONX,01 BRONX,Unspecified,,,02/13/2018,Open,Property Research Required,,,,,,,,,,,,,,,
1271 55 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056760045,12/18/2017,Open,Site downloaded for cleaning,,985255,169582,40.632140,-73.996379,11219, 218  ,3139381,Borough Park,"(40.63214, -73.996379)",17621,2,2,18,39
934A WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2026977501,01/03/2018,Open,Site downloaded for cleaning,,1012728,238767,40.821990,-73.897107,10459,  87  ,2005358,Longwood,"(40.82199, -73.897107)",10937,8,5,43,24
116-43 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4122020101,11/17/2017,Open,Site downloaded for cleaning,,1041846,187588,40.681375,-73.792341,11434, 272  ,4264771,Baisley Park,"(40.681375, -73.792341)",24671,41,3,46,71
6122 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3055250047,01/30/2018,Open,Site to be cleaned.,,987572,165621,40.621268,-73.988033,11204, 248  ,3132432,Bensonhurst West,"(40.621268, -73.988033)",16867,1,2,18,37
584 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035430043,12/15/2017,Open,Site downloaded for cleaning,,1009285,181864,40.665816,-73.909759,11212, 924  ,3326651,Brownsville,"(40.665816, -73.909759)",17614,55,2,17,46
92-09 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4088700053,12/18/2017,Open,Site downloaded for cleaning,,1024996,191911,40.693335,-73.853066,11421,  14  ,4182100,Woodhaven,"(40.693335, -73.853066)",24017,46,3,41,60
166 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066190042,01/27/2018,Open,Site to be cleaned.,,988304,159979,40.605781,-73.985400,11223, 404  ,3175285,Bensonhurst East,"(40.605781, -73.9854)",18183,1,2,18,37
1869 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,48,3067580082,12/12/2017,Open,Site downloaded for cleaning,,994613,162111,40.611628,-73.962676,11230, 542  ,3181701,Midwood,"(40.611628, -73.962676)",13513,60,2,15,43
365 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071040411,01/17/2018,Open,Site downloaded for cleaning,,992371,156876,40.597261,-73.970757,11223, 396  ,3191603,Homecrest,"(40.597261, -73.970757)",18183,32,2,45,36
9715 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061260006,01/23/2018,Open,Site to be cleaned.,,974737,163553,40.615587,-74.034265,11209,  5601,3155832,Bay Ridge,"(40.615587, -74.034265)",17216,10,2,44,41
720 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071340008,01/17/2018,Open,Site downloaded for cleaning,,994306,157150,40.598011,-73.963789,11223, 392  ,3193090,Homecrest,"(40.598011, -73.963789)",18183,32,2,45,36
1221 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018420061,03/06/2018,Open,Site to be cleaned.,,997372,187240,40.680598,-73.952690,11216, 245  ,3052985,Bedford,"(40.680598, -73.95269)",17618,69,2,49,51
211 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002850020,01/09/2018,Open,Site downloaded for cleaning,,987690,199504,40.714263,-73.987667,10002,   6  ,1003699,Lower East Side,"(40.714263, -73.987667)",11723,70,4,32,4
1624 EDWARD GRANT HIGHWAY,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
122 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004190047,02/25/2018,Open,Site downloaded for cleaning,,986362,201332,40.719287,-73.992381,10002,  18  ,1005586,Chinatown,"(40.719287, -73.992381)",11723,70,4,32,2
4522 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007480046,12/27/2017,Open,Site downloaded for cleaning,,982754,174781,40.646410,-74.005391,11220,  96  ,3011627,Sunset Park East,"(40.64641, -74.005391)",18180,9,2,7,45
472 RIDGEWOOD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041320030,11/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2018,1019930,189140,40.685751,-73.871349,11208,1184  ,3092361,Cypress Hills-City Line,"(40.685751, -73.871349)",17215,45,2,37,47
795 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046760001,11/14/2017,Open,Site downloaded for cleaning,,1003517,177370,40.653496,-73.930563,11203, 868  ,3102111,Rugby-Remsen Village,"(40.653496, -73.930563)",16866,61,2,17,40
72 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220067,12/16/2017,Open,Site downloaded for cleaning,,999580,233440,40.807402,-73.944624,10027, 200  ,1053485,Central Harlem South,"(40.807402, -73.944624)",12424,18,4,36,18
168 BANKER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026150025,11/29/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/20/2018,996638,203273,40.724606,-73.955307,11222, 561  ,3065484,Greenpoint,"(40.724606, -73.955307)",18182,36,2,38,57
1380 THIERIOT AVENUE,BRONX,09 BRONX,Precinct 43,18,2038830018,11/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2018,1021602,243550,40.835085,-73.865018,10460, 21601,2087046,West Farms-Bronx River,"(40.835085, -73.865018)",11269,58,5,31,26
1772 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020790034,01/03/2018,Open,Site downloaded for cleaning,,999091,240556,40.826934,-73.946375,10031, 233  ,1061988,Hamilton Heights,"(40.826934, -73.946375)",12428,37,4,23,19
215-39 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106080050,11/17/2017,Open,Site downloaded for cleaning,,1056437,200743,40.717376,-73.739593,11428, 566  ,4226332,Queens Village,"(40.717376, -73.739593)",24337,63,3,16,63
6918 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058720049,12/19/2017,Open,Site downloaded for cleaning,,977691,170395,40.634369,-74.023631,11209,  68  ,3145703,Bay Ridge,"(40.634369, -74.023631)",17216,10,2,44,41
3139 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087060042,12/12/2017,Open,Site downloaded for cleaning,,995432,150412,40.579515,-73.959745,11235, 61003,3245298,Brighton Beach,"(40.579515, -73.959745)",13826,21,2,15,35
37-23 74 STREET,QUEENS,03 QUEENS,Precinct 115,25,4012850023,12/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2018,1014260,211896,40.748232,-73.891692,11372, 289  ,4029820,Jackson Heights,"(40.748232, -73.891692)",14783,65,3,5,73
120 MARCY PLACE,BRONX,04 BRONX,Precinct 44,16,2028400054,11/20/2017,Open,Site downloaded for cleaning,,1007466,244599,40.838013,-73.916099,10452, 22102,2092053,West Concourse,"(40.838013, -73.916099)",10930,50,5,42,27
331 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3004430007,01/22/2018,Open,Site downloaded for cleaning,,985758,187259,40.680660,-73.994563,11231,  75  ,3007384,Carroll Gardens-Columbia Street-Red Hook,"(40.68066, -73.994563)",13514,14,2,27,48
194 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032180030,02/18/2018,Open,Site downloaded for cleaning,,1004841,194332,40.700050,-73.925739,11221, 423  ,3073132,Bushwick South,"(40.70005, -73.925739)",18181,42,2,30,53
123 BAY   53 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069500122,12/19/2017,Open,Site downloaded for cleaning,,987942,151650,40.582920,-73.986708,11214, 348  ,3256843,Seagate-Coney Island,"(40.58292, -73.986708)",17616,21,2,45,35
187 PLYMOUTH STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3000200014,11/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2017,988206,195667,40.703737,-73.985732,11201,  21  ,3329397,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.703737, -73.985732)",16865,68,2,38,54
3401 OLINVILLE AVENUE,BRONX,12 BRONX,Precinct 47,12,2046270044,12/07/2017,Open,Site downloaded for cleaning,,1020718,258301,40.875576,-73.868133,10467, 376  ,2056946,Williamsbridge-Olinville,"(40.875576, -73.868133)",11605,29,5,2,30
805 PROSPECT PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012270076,02/14/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998265,184942,40.674289,-73.949475,11216, 31701,3031024,Crown Heights North,"(40.674289, -73.949475)",17618,16,2,49,49
530 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,,01/24/2018,Open,Property Research Required,,1010259,192262,40.694354,-73.906208,11237, 437  ,,Bushwick North,"(40.694354, -73.906208)",13828,42,2,37,53
99 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100017,03/09/2018,Open,Site to be cleaned.,,987446,201630,40.720104,-73.988470,10002,  18  ,1005312,Chinatown,"(40.720104, -73.98847)",11723,70,4,32,4
2644 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036870012,12/08/2017,Open,Site downloaded for cleaning,,1012919,185485,40.675744,-73.896644,11207,1198  ,3326728,East New York,"(40.675744, -73.896644)",17214,45,2,37,47
165-19 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4098370009,12/07/2017,Open,Site downloaded for cleaning,,1040423,197744,40.709260,-73.797386,11432, 454  ,4210428,Briarwood-Jamaica Hills,"(40.70926, -73.797386)",24340,25,3,24,65
1029 67 street,BRONX,01 BRONX,Unspecified,,,12/28/2017,Open,Property Research Required,,,,,,,,,,,,,,,
230 EAST   14 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004690023,12/18/2017,Open,Site downloaded for cleaning,,988027,206307,40.732941,-73.986372,10003,  40  ,1006903,East Village,"(40.732941, -73.986372)",11724,70,4,50,5
208 DARLINGTON AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,5063330109,12/05/2017,Open,Site downloaded for cleaning,,930827,134989,40.537028,-74.192198,10312, 17009,5081472,Arden Heights,"(40.537028, -74.192198)",10699,15,1,9,77
536 West 4th St,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/12/2017,Open,Property Research Required,,,,,,,,,,,,,,,
25-77 STEINWAY AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006840014,12/12/2017,Open,Site downloaded for cleaning,,1008619,218919,40.767525,-73.912025,11103, 143  ,4011371,Astoria,"(40.767525, -73.912025)",16860,39,3,4,72
3528 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073860112,11/21/2017,Open,Site downloaded for cleaning,,1000522,157101,40.597868,-73.941406,11229, 59402,3256879,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.597868, -73.941406)",13512,32,2,15,36
1023 SAINT NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,07,,03/14/2018,Open,Property Research Required,,1000877,243808,40.835857,-73.939913,10032, 245  ,,Washington Heights South,"(40.835857, -73.939913)",13090,47,4,23,21
113 EAST  184 STREET,BRONX,05 BRONX,Precinct 46,14,2031730068,02/06/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1011825,252550,40.859823,-73.900313,10468, 23703,2000000,Fordham South,"(40.859823, -73.900313)",11606,6,5,29,29
3843 st nicholas,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
204 EAST  170 STREET,BRONX,04 BRONX,Precinct 44,16,2028310048,12/26/2017,Open,Site downloaded for cleaning,,1008229,244796,40.838551,-73.913341,10456, 17902,2007982,East Concourse-Concourse Village,"(40.838551, -73.913341)",10934,50,5,42,27
119 GROVE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3033140067,01/12/2018,Open,Site downloaded for cleaning,,1006368,192039,40.693752,-73.920240,11221, 419  ,3075900,Bushwick South,"(40.693752, -73.92024)",18181,42,2,30,53
125 PINE STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041300001,11/15/2017,Open,Site downloaded for cleaning,,1019394,188409,40.683746,-73.873286,11208,117602,3092221,Cypress Hills-City Line,"(40.683746, -73.873286)",17215,45,2,37,47
801 EAST  141 STREET,BRONX,01 BRONX,Precinct 40,17,2025990146,11/17/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/20/2018,1009516,232878,40.805836,-73.908734,10454,  19  ,2097203,Mott Haven-Port Morris,"(40.805836, -73.908734)",10932,49,5,43,23
245 42 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007170058,12/02/2017,Open,Site downloaded for cleaning,,981130,177171,40.652970,-74.011244,11232,   2  ,3010668,Sunset Park West,"(40.65297, -74.011244)",13515,9,2,7,45
18-37 EVERDELL AVENUE,QUEENS,14 QUEENS,Precinct 101,31,4155670010,02/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1053393,158325,40.600972,-73.751009,11691,101001,4534299,Far Rockaway-Bayswater,"(40.600972, -73.751009)",20529,51,3,47,59
2781 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039460040,11/17/2017,Open,Site downloaded for cleaning,,1014309,185718,40.676379,-73.891632,11207,1198  ,3087762,East New York,"(40.676379, -73.891632)",17214,45,2,37,47
42-50 27 STREET,QUEENS,02 QUEENS,Precinct 108,26,4004300020,02/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1000565,212092,40.748805,-73.941118,11101,  19  ,4541854,Hunters Point-Sunnyside-West Maspeth,"(40.748805, -73.941118)",16858,53,3,33,66
1030 castle hill road,BRONX,01 BRONX,Unspecified,,,12/20/2017,Open,Property Research Required,,,,,,,,,,,,,,,
94 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002760042,12/18/2017,Open,Site downloaded for cleaning,,985455,198744,40.712183,-73.995653,10002,   8  ,1003318,Chinatown,"(40.712183, -73.995653)",11723,70,4,32,2
621 EAST  169 STREET,BRONX,03 BRONX,Precinct 42,16,2029330073,01/03/2018,Open,Site downloaded for cleaning,,1011434,242293,40.831672,-73.901768,10456, 149  ,2113521,Morrisania-Melrose,"(40.831672, -73.901768)",10934,34,5,42,25
2330 VALENTINE AVENUE,BRONX,05 BRONX,Precinct 46,15,2031460016,12/20/2017,Open,Site downloaded for cleaning,,1012523,251773,40.857689,-73.897793,10458, 38301,2013433,Fordham South,"(40.857689, -73.897793)",10936,6,5,22,29
89-24 METROPOLITAN AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4038510132,11/27/2017,Open,Site downloaded for cleaning,,1022708,198734,40.712072,-73.861278,11374, 637  ,4094195,Glendale,"(40.712072, -73.861278)",15310,54,3,34,62
126-01 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092800039,11/09/2017,Closed,Cleaning crew dispatched. No graffiti on property.,11/21/2017,1032873,194802,40.701230,-73.824640,11418, 14201,4193934,Richmond Hill,"(40.70123, -73.82464)",24014,46,3,28,60
394 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066780071,01/31/2018,Open,Site to be cleaned.,,991018,159537,40.604566,-73.975626,11223, 412  ,3178348,Bensonhurst East,"(40.604566, -73.975626)",18183,1,2,18,37
911 LONGWOOD AVENUE,BRONX,02 BRONX,Precinct 41,17,2026960001,11/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/20/2018,1012003,237469,40.818430,-73.899732,10459,  87  ,2005343,Longwood,"(40.81843, -73.899732)",10937,8,5,43,24
85-25 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,,12/18/2017,Open,Property Research Required,,1023406,191621,40.692546,-73.858801,11421,  12  ,,Woodhaven,"(40.692546, -73.858801)",24017,46,3,41,60
